ID,Title,,,
ethosia,ethosia,,,
shenkar,shenkar,,,
eu_ade,EU ADE,,,
circuit_live_auction,Circuit Live Auction,,,
hiro,Hiro,,,
ilri,ILRI,,,
cbn,CBN,,,
negawatt,Negawatt,,,
cri,CRI,,,
taglit,Taglit,,,
huji,HUJI,,,
